Case,Observed_dataset,Emission_Compartment,Target_Compartment,RMSE,R2,Slope,Spearman_r,Pass_Spearman,MPdensity_kg_m3,FI,t_half_deg_free,t_frag_gen_FreeSurfaceWater
72,Sea Surface all | Cai,Surface_Freshwater,Ocean_Surface_Water,0.5827014972901272,0.026897383776458006,-1.2166643503551833,-1.0,True,990.7071532569504,0.29657342098653316,4606.795100665683,16.363625347188755
41,Sea Surface all | Cai,Surface_Freshwater,Coast_Surface_Water,0.5880836101161104,0.008838273113309536,-1.0434273549666657,-1.0,True,980.681203058566,0.6637955326586962,3357.0942506393985,28.15704096307011
117,Sea Surface all | Cai,Coast_Surface_Water,Coast_Surface_Water,0.604571389694798,-0.047518144421008435,-1.9258182076859434,-1.0,True,1052.6719218786097,0.8115330813452601,3073.41552049488,14.554328791386125
256,Sea Surface all | Cai,Impacted_Soil_Surface,Ocean_Surface_Water,0.6201026452652441,-0.1020303116439456,-2.718895971479288,-1.0,True,938.1999105069605,0.2247749101370573,1827.0909576901595,58.014555128786775
105,Sea Surface all | Cai,Coast_Surface_Water,Coast_Surface_Water,0.6349721018899098,-0.15551519609187303,-1.9757676773725823,-1.0,True,1067.1475829275753,0.8145831767469645,7649.971821573374,27.484250670786114
6,Sea Surface all | Cai,Surface_Freshwater,Coast_Surface_Water,0.6552707222895381,-0.2305744678478303,-0.9263486790200608,-1.0,True,938.1999105069605,0.2247749101370573,1827.0909576901595,58.014555128786775
127,Sea Surface all | Cai,Coast_Surface_Water,Coast_Surface_Water,0.6738414058848657,-0.3013129739155731,-2.0503892075737427,-1.0,True,1172.0407545757373,0.8734017200767994,13111.03180170831,20.47403233407545
91,Sea Surface all | Cai,Surface_Freshwater,Ocean_Surface_Water,0.6740299145363889,-0.3020411662309106,-1.271236429298959,-1.0,True,980.681203058566,0.6637955326586962,3357.0942506393985,28.15704096307011
56,Sea Surface all | Cai,Surface_Freshwater,Ocean_Surface_Water,0.6807158328723396,-0.32800000351509273,-1.2603508776700956,-1.0,True,938.1999105069605,0.2247749101370573,1827.0909576901595,58.014555128786775
259,Sea Surface all | Cai,Impacted_Soil_Surface,Ocean_Surface_Water,0.6992454624836855,-0.40128245953429054,-2.5241262729080054,-1.0,True,1011.0546938224201,0.9662006385624409,8317.906190875348,110.33241362955947
7,Sea Surface Fragments | Enders,Ocean_Surface_Water,Coast_Surface_Water,0.28841809204307933,0.7152964986635792,-2.746604854535332,-1.0,True,1302.5857566121042,0.5395782608538866,9481.499850069624,12.343861837108888
13,Sea Surface Fragments | Enders,Ocean_Surface_Water,Coast_Surface_Water,0.2924862956538094,0.7072082378538166,-2.5879196270622273,-1.0,True,1121.8133512477903,0.6033657537773252,3615.677397989515,22.326527525385192
19,Sea Surface Fragments | Enders,Ocean_Surface_Water,Coast_Surface_Water,0.29715368522489394,0.6977891513806262,-2.5689851600798854,-1.0,True,1161.6520193863762,0.5836473209783435,5394.3824984800585,25.560460500675028
153,Sea Surface Fragments | Enders,Coast_Surface_Water,Ocean_Surface_Water,0.3277972837640472,0.6322450642922426,-3.1252053142588965,-1.0,True,1142.0435862712225,0.9025733647868037,3158.382174470359,79.69456262139977
173,Sea Surface Fragments | Enders,Coast_Surface_Water,Ocean_Surface_Water,0.3460016555004114,0.590263962992103,-3.0286025106144048,-1.0,True,1397.5404051676394,0.9698357824236155,5627.571199229376,50.288791617274825
179,Sea Surface Fragments | Enders,Coast_Surface_Water,Ocean_Surface_Water,0.35084977662886874,0.5787012041476458,-3.2712126397080596,-1.0,True,1102.5406864705117,0.9065061183646321,4965.649411422003,61.77968395687778
49,Sea Surface Fragments | Enders,Ocean_Surface_Water,Coast_Surface_Water,0.3522415788105624,0.5753520350118997,-2.4883287287310973,-1.0,True,1045.3286657747933,0.568218951113522,12843.291904306892,60.286671861790914
21,Sea Surface Fragments | Enders,Ocean_Surface_Water,Coast_Surface_Water,0.38066895748098867,0.5040444729055797,-2.420055993671321,-1.0,True,1087.9430072866553,0.636449845507741,10475.615654213472,73.19579853033848
189,Sea Surface Fragments | Enders,Coast_Surface_Water,Ocean_Surface_Water,0.3823539553414621,0.49964414802133283,-3.295298424798116,-1.0,True,1293.841592518476,0.8304386623203754,3741.3800363979353,56.26905907668252
